Volume (pixel^3),Surface (pixel^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (pixel),SD dist. to surf. (pixel),Median dist. to surf. (pixel),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
2562,1470,2562,848,1147776,448.000,0.000,448,448,448,4.716,466.356,21.013,8.926,2.637,8.313,4.716,466.356,21.013,0,458,10,12,17,27
5421,2850,5421,1373,3230916,596.000,0.000,596,596,596,418.395,477.609,30.246,11.369,3.115,10.922,418.395,477.610,30.246,408,468,10,22,21,39
726,622,726,284,271524,374.000,0.000,374,374,374,45.665,499.015,15.467,5.305,0.787,5.144,45.665,499.015,15.467,41,492,10,10,13,13
186,258,186,108,59892,322.000,0.000,322,322,322,229.715,508.855,13.403,3.245,0.673,3.182,229.715,508.855,13.403,226,506,10,7,6,10
2685,1880,2685,890,1404255,523.000,0.000,523,523,523,47.717,105.966,23.375,8.949,2.539,8.584,47.717,105.966,23.375,40,94,11,16,20,26
1721,1140,1721,601,881152,512.000,0.000,512,512,512,63.177,106.367,22.555,7.293,1.388,7.072,63.177,106.367,22.555,57,100,11,13,13,20
397,424,397,187,159197,401.000,0.000,401,401,401,475.809,117.345,17.196,4.304,0.897,4.078,475.808,117.345,17.196,472,114,11,8,8,15
1207,1106,1207,511,592637,491.000,0.000,491,491,491,66.651,153.333,20.204,6.463,1.424,6.470,66.652,153.333,20.204,60,147,11,13,16,16
1512,1186,1512,550,831600,550.000,0.000,550,550,550,27.685,176.339,25.724,7.109,1.861,6.732,27.685,176.340,25.724,21,171,11,16,12,27
801,712,801,363,339624,424.000,0.000,424,424,424,356.588,246.901,18.328,5.501,1.189,5.464,356.588,246.901,18.328,351,242,11,12,10,16
2094,1718,2094,916,542346,259.000,0.000,259,259,259,236.507,270.674,16.706,7.848,1.762,7.638,236.508,270.674,16.706,225,264,11,22,18,16
3179,2356,3179,1146,2193510,690.000,0.000,690,690,690,381.195,296.332,31.273,9.410,2.448,9.129,381.195,296.331,31.273,372,287,11,21,19,30
674,614,674,296,287124,426.000,0.000,426,426,426,164.000,300.539,17.785,5.164,0.874,5.147,163.999,300.539,17.785,159,296,11,10,10,14
4269,2890,4269,1502,2382102,558.000,0.000,558,558,558,334.105,307.148,25.413,10.664,2.947,10.773,334.104,307.148,25.413,328,290,11,15,33,34
