@relation TWS-3D-v3.3.1-grayscale

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Derivatives_1_1_1_8.0 numeric
@attribute Derivatives_2_2_2_8.0 numeric
@attribute Derivatives_3_3_3_8.0 numeric
@attribute Derivatives_4_4_4_8.0 numeric
@attribute Derivatives_5_5_5_8.0 numeric
@attribute class {Cell,Background,Garbage}

@data
196,178.792282,1.136099,0.187917,0.373996,-187.47258,-68.131104,146.147186,0.255925,-0.076207,-0.017606,0.016935,0.022444,103.363403,0.065149,-0.000017,-0.000054,0,0,60.38208,0.003137,-0.000033,-0,0,0,Cell
255,221.776932,0.647853,3.174787,-14.757519,-23.044489,80.617416,161.482315,0.610893,-0.052676,0.013662,-0.015901,-0.016641,104.407249,0.065661,-0.000433,-0.000082,0.000001,0,59.818314,0.002919,-0.000035,-0,0,0,Cell
255,223.988083,-1.411903,1.328132,4.827758,92.377609,42.294491,164.38446,0.838315,-0.008116,0.036016,-0.028085,-0.048916,103.678429,0.05778,-0.000691,-0.000092,0,0.000001,58.953472,0.002446,-0.000037,-0,0,0,Cell
187,186.025787,2.20043,3.053035,4.02445,-72.081085,15.515829,153.998581,0.79538,0.028086,0.016151,-0.01181,-0.015316,100.96788,0.041103,-0.000766,-0.000079,-0.000001,0,57.802132,0.001758,-0.000038,-0,0,0,Cell
99,132.235214,4.473537,-1.205698,1.243558,4.151534,-127.788239,135.29628,0.442512,0.045577,-0.023846,0.009348,0.044391,96.358513,0.017533,-0.000699,-0.000046,-0.000002,0,56.387684,0.000905,-0.000038,0,0,0,Cell
93,83.576309,0.94394,2.141522,-4.502971,55.168667,143.657852,71.950508,0.243367,0.031851,-0.019741,-0.020572,0.016385,56.901028,-0.0154,-0.000803,-0.000033,0,0.000001,49.343506,-0.011143,-0.000002,0,-0,-0,Cell
130,113.424149,1.681905,6.114608,9.176024,-197.4133,-178.260773,84.707489,0.140138,-0.030251,-0.027598,0.001977,0.013657,62.737186,-0.015711,-0.001037,-0.000017,0.000002,0.000001,50.943733,-0.010411,-0.000003,0,-0,-0,Cell
165,128.781906,1.491958,-0.610621,0.234734,-99.982216,58.730049,97.062637,-0.088293,-0.058894,-0.013986,0.012152,0.003891,68.42099,-0.015236,-0.001227,0.000007,0.000003,0,52.577183,-0.009384,-0.000004,0,-0,-0,Cell
153,131.040817,-1.887822,-1.969914,-5.214498,231.688156,128.199524,108.301506,-0.382429,-0.055151,0.018658,0.004515,-0.020518,73.715607,-0.013332,-0.001314,0.000033,0.000005,-0.000001,54.212326,-0.008114,-0.000005,0,-0,-0,Cell
151,143.264999,-4.753953,-3.061741,11.416408,58.185226,-307.507843,117.782364,-0.608793,-0.065025,0.042665,0.001629,-0.025931,78.444168,-0.009536,-0.001228,0.000053,0.000006,-0.000001,55.813858,-0.006665,-0.000007,-0,-0,-0,Cell
